RefCode,Icon,Title,Text,Color,LinkURL,LinkText,ImageURL,FFR,FoodPref,Culture,Time,HealthRating,Language,Delete
McD_33,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d5e4b0f4d2ad33a974?viewFile=true,mcdonalds,"vegetablesfresh,saltysavory",A,"dinner,lunch","1,2,3,4,5",en,
McD_34,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c87d5e0e4b001ad5ab708b4?viewFile=true,mcdonalds,"saltysavory,vegetablesfresh",B,"lunch,dinner","1,2,3,4,5",en,
McD_35,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d6e4b0f4d2ad33a97b?viewFile=true,"subway,burgerking,mcdonalds,wendys,generic,KFC","vegetablesfresh,saltysavory",A,"dinner,lunch","1,2,3,4,5",en,
McD_36,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d6e4b0f4d2ad33a97f?viewFile=true,"wendys,mcdonalds,subway,generic,burgerking,KFC","saltysavory,vegetablesfresh",B,"dinner,lunch","1,2,3,4,5",en,
McD_37,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d6e4b0f4d2ad33a982?viewFile=true,mcdonalds,"vegetablesfresh,saltysavory","A,B","lunch,dinner","1,2,3,4,5",en,
McD_38,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d6e4b0f4d2ad33a985?viewFile=true,"wendys,tacobell,subway,generic,mcdonalds,burgerking","saltysavory,vegetablesfresh","A,B","dinner,daysnack,breakfast,lunch,nightsnack","1,2,3,4,5",en,
McD_39,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10be4b05e4bbcdd155c?viewFile=true,mcdonalds,"saltysavory,vegetablesfresh","B,A","dinner,lunch","1,2,3,4,5",en,
McD_40,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10be4b05e4bbcdd1560?viewFile=true,mcdonalds,"saltysavory,vegetablesfresh","B,A","dinner,lunch","1,2,3,4,5",en,
McD_41,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d6e4b0f4d2ad33a98e?viewFile=true,"wendys,burgerking,mcdonalds",saltysavory,A,"nightsnack,daysnack","1,2,3,4,5",en,
McD_42,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a8ce4b0e4912158398a?viewFile=true,"mcdonalds,burgerking,wendys",saltysavory,B,"nightsnack,daysnack","1,2,3,4,5",en,
McD_43,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d6e4b0f4d2ad33a996?viewFile=true,"wendys,mcdonalds,generic,burgerking,KFC,tacobell,subway","vegetablesfresh,saltysavory,sweet",A,"daysnack,nightsnack","1,2,3,4,5",en,
McD_44,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a8ce4b0e4912158398d?viewFile=true,"subway,tacobell,generic,KFC,burgerking,wendys,mcdonalds","vegetablesfresh,sweet,saltysavory",B,"nightsnack,daysnack","1,2,3,4,5",en,
McD_45,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d7e4b0f4d2ad33a99e?viewFile=true,mcdonalds,sweet,"A,B","daysnack,nightsnack","1,2,3,4,5",en,
McD_46,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10be4b05e4bbcdd1577?viewFile=true,"mcdonalds,burgerking,KFC,generic,subway,wendys,tacobell","vegetablesfresh,sweet","B,A","daysnack,nightsnack","1,2,3,4,5",en,
McD_47,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ce4b05e4bbcdd1582?viewFile=true,mcdonalds,sweet,A,"nightsnack,daysnack","1,2,3,4,5",en,
McD_48,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ce4b05e4bbcdd1584?viewFile=true,mcdonalds,sweet,B,"nightsnack,daysnack","1,2,3,4,5",en,
McD_49,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d7e4b0f4d2ad33a9ac?viewFile=true,"wendys,mcdonalds,subway,generic","vegetablesfresh,sweet",A,"nightsnack,daysnack","1,2,3,4,5",en,
McD_50,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ce4b05e4bbcdd1586?viewFile=true,"mcdonalds,wendys,subway,generic","vegetablesfresh,sweet",B,"nightsnack,daysnack","1,2,3,4,5",en,
McD_51,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d7e4b0f4d2ad33a9b3?viewFile=true,"wendys,mcdonalds,KFC,subway",sweet,"B,A","daysnack,nightsnack","1,2,3,4,5",en,
McD_52,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d8e4b0f4d2ad33a9b6?viewFile=true,"subway,mcdonalds,burgerking,wendys,KFC,tacobell,generic",sweet,"A,B","daysnack,nightsnack","1,2,3,4,5",en,
McD_53,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d8e4b0f4d2ad33a9bf?viewFile=true,"subway,mcdonalds",sweet,"A,B","nightsnack,daysnack","1,2,3,4,5",en,
McD_54,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d8e4b0f4d2ad33a9c3?viewFile=true,"burgerking,KFC,tacobell,mcdonalds,generic,wendys",sweet,"A,B","daysnack,nightsnack","1,2,3,4,5",en,
McD_55,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d8e4b0f4d2ad33a9c7?viewFile=true,"burgerking,tacobell,KFC,mcdonalds,wendys,subway",vegetablesfresh,"A,B","nightsnack,daysnack","1,2,3,4,5",en,
McD_56,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10de4b05e4bbcdd15b7?viewFile=true,"mcdonalds,generic,wendys,burgerking,KFC,subway,tacobell","saltysavory,sweet,vegetablesfresh","A,B","daysnack,nightsnack","1,2,3,4,5",en,
McD_57,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d8e4b0f4d2ad33a9cf?viewFile=true,mcdonalds,sweet,A,"daysnack,nightsnack","1,2,3,4,5",en,
McD_58,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d8e4b0f4d2ad33a9d2?viewFile=true,mcdonalds,sweet,B,"daysnack,nightsnack","1,2,3,4,5",en,
McD_59,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7eae4b018624a53cf5c?viewFile=true,mcdonalds,"sweet,vegetablesfresh",A,"daysnack,nightsnack","1,2,3,4,5",en,
McD_60,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10de4b05e4bbcdd15c0?viewFile=true,mcdonalds,"sweet,vegetablesfresh",B,"daysnack,nightsnack","1,2,3,4,5",en,
McD_61,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10de4b05e4bbcdd15c8?viewFile=true,"mcdonalds,wendys,subway","vegetablesfresh,sweet","B,A","nightsnack,daysnack","1,2,3,4,5",en,
McD_62,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10de4b05e4bbcdd15ca?viewFile=true,"subway,wendys,mcdonalds,generic","saltysavory,vegetablesfresh","B,A","daysnack,breakfast,lunch,dinner,nightsnack","1,2,3,4,5",en,
McD_63,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ee4b05e4bbcdd15e0?viewFile=true,mcdonalds,saltysavory,"A,B","lunch,dinner","1,2,3,4,5",en,
McD_64,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ee4b05e4bbcdd15e3?viewFile=true,"wendys,KFC,mcdonalds,subway,burgerking",saltysavory,"B,A","dinner,lunch","1,2,3,4,5",en,
McD_65,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d9e4b0f4d2ad33a9eb?viewFile=true,mcdonalds,saltysavory,A,"lunch,dinner","1,2,3,4,5",en,
McD_66,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93d9e4b0f4d2ad33a9ee?viewFile=true,mcdonalds,saltysavory,B,"dinner,lunch","1,2,3,4,5",en,
McD_67,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dae4b0f4d2ad33a9f2?viewFile=true,"generic,mcdonalds,burgerking,KFC,wendys",saltysavory,A,"dinner,lunch","1,2,3,4,5",en,
McD_68,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dae4b0f4d2ad33a9f5?viewFile=true,"KFC,generic,mcdonalds,wendys,burgerking",saltysavory,B,"lunch,dinner","1,2,3,4,5",en,
McD_69,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a8de4b0e491215839a4?viewFile=true,mcdonalds,saltysavory,"A,B","dinner,lunch","1,2,3,4,5",en,
McD_70,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dae4b0f4d2ad33a9fc?viewFile=true,"wendys,KFC,tacobell,generic,subway,mcdonalds,burgerking","saltysavory,vegetablesfresh,sweet","A,B","nightsnack,daysnack","1,2,3,4,5",en,
McD_71,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10fe4b05e4bbcdd162e?viewFile=true,"mcdonalds,burgerking,wendys",vegetablesfresh,"A,B","nightsnack,daysnack","1,2,3,4,5",en,
McD_72,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10fe4b05e4bbcdd1630?viewFile=true,"burgerking,subway,wendys,generic,tacobell,KFC,mcdonalds",vegetablesfresh,"A,B","lunch,nightsnack,dinner,breakfast,daysnack","1,2,3,4,5",en,
McD_73,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10fe4b05e4bbcdd1640?viewFile=true,mcdonalds,saltysavory,"B,A",breakfast,"1,2,3,4,5",en,
McD_74,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10fe4b05e4bbcdd1642?viewFile=true,"subway,burgerking,mcdonalds,tacobell,wendys",saltysavory,"A,B",breakfast,"1,2,3,4,5",en,
McD_75,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dbe4b0f4d2ad33aa0d?viewFile=true,mcdonalds,saltysavory,"A,B","lunch,dinner","1,2,3,4,5",en,
McD_76,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e93dbe4b0f4d2ad33aa11?viewFile=true,"mcdonalds,wendys,burgerking",saltysavory,"B,A","lunch,dinner","1,2,3,4,5",en,
McD_77,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7ebe4b018624a53cf7a?viewFile=true,mcdonalds,saltysavory,A,breakfast,"1,2,3,4,5",en,
McD_78,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7ebe4b018624a53cf7d?viewFile=true,mcdonalds,saltysavory,B,breakfast,"1,2,3,4,5",en,
McD_79,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7ebe4b018624a53cf80?viewFile=true,mcdonalds,"saltysavory,vegetablesfresh",A,breakfast,"1,2,3,4,5",en,
McD_80,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7ebe4b018624a53cf83?viewFile=true,mcdonalds,"vegetablesfresh,saltysavory",B,breakfast,"1,2,3,4,5",en,
BK_1,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d94bd8be4b006ec9e0c2a8e?viewFile=true,"wendys,mcdonalds,burgerking","vegetablesfresh,saltysavory","A,B","dinner,lunch","1,2,3,4,5",en,
BK_2,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9425e4b0f4d2ad33aa76?viewFile=true,"wendys,burgerking,mcdonalds","vegetablesfresh,saltysavory","B,A","dinner,lunch","1,2,3,4,5",en,
BK_3,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ce4b05e4bbcdd1592?viewFile=true,"wendys,mcdonalds,burgerking","vegetablesfresh,saltysavory","B,A","dinner,lunch","1,2,3,4,5",en,
BK_4,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ce4b05e4bbcdd1595?viewFile=true,"tacobell,burgerking,mcdonalds,wendys,KFC,subway,generic","vegetablesfresh,saltysavory","B,A","nightsnack,breakfast,lunch,dinner,daysnack","1,2,3,4,5",en,
BK_5,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9432e4b0f4d2ad33ab39?viewFile=true,burgerking,saltysavory,A,"dinner,lunch","1,2,3,4,5",en,
BK_6,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9432e4b0f4d2ad33ab3c?viewFile=true,burgerking,saltysavory,B,"lunch,dinner","1,2,3,4,5",en,
BK_7,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9432e4b0f4d2ad33ab3f?viewFile=true,burgerking,saltysavory,A,"lunch,dinner","1,2,3,4,5",en,
BK_8,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9432e4b0f4d2ad33ab42?viewFile=true,burgerking,saltysavory,B,"lunch,dinner","1,2,3,4,5",en,
BK_9,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9434e4b0f4d2ad33ab76?viewFile=true,burgerking,saltysavory,"B,A","lunch,dinner","1,2,3,4,5",en,
BK_10,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9434e4b0f4d2ad33ab79?viewFile=true,"burgerking,mcdonalds,wendys",saltysavory,"A,B","lunch,dinner","1,2,3,4,5",en,
BK_11,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9434e4b0f4d2ad33ab7c?viewFile=true,"mcdonalds,wendys,burgerking,subway","vegetablesfresh,saltysavory","B,A","dinner,lunch","1,2,3,4,5",en,
BK_12,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9434e4b0f4d2ad33ab7f?viewFile=true,burgerking,saltysavory,"A,B","dinner,lunch","1,2,3,4,5",en,
BK_13,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9435e4b0f4d2ad33ab82?viewFile=true,burgerking,saltysavory,"B,A","lunch,dinner","1,2,3,4,5",en,
BK_14,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d94bd8ce4b006ec9e0c2a9c?viewFile=true,"wendys,burgerking,mcdonalds",saltysavory,A,"daysnack,lunch,nightsnack,dinner","1,2,3,4,5",en,
BK_15,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d94bd8ce4b006ec9e0c2a9e?viewFile=true,"burgerking,mcdonalds,wendys",saltysavory,B,"dinner,nightsnack,daysnack,lunch","1,2,3,4,5",en,
BK_16,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a73e4b0e491215838fd?viewFile=true,"wendys,burgerking,KFC,generic,mcdonalds","vegetablesfresh,saltysavory",A,"dinner,lunch","1,2,3,4,5",en,
BK_17,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a73e4b0e491215838ff?viewFile=true,"burgerking,wendys,generic,mcdonalds,KFC","vegetablesfresh,saltysavory",B,"lunch,dinner","1,2,3,4,5",en,
BK_18,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a74e4b0e49121583901?viewFile=true,"burgerking,mcdonalds,wendys",saltysavory,A,"dinner,lunch","1,2,3,4,5",en,
BK_19,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9436e4b0f4d2ad33ab94?viewFile=true,"wendys,mcdonalds,burgerking",saltysavory,B,"lunch,dinner","1,2,3,4,5",en,
BK_20,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5cc74a74e4b0e49121583903?viewFile=true,"mcdonalds,wendys,burgerking,generic,KFC",saltysavory,A,"dinner,daysnack,nightsnack,lunch,breakfast","1,2,3,4,5",en,
BK_21,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9436e4b0f4d2ad33ab9b?viewFile=true,"KFC,wendys,burgerking,generic,mcdonalds",saltysavory,B,"nightsnack,breakfast,dinner,daysnack,lunch","1,2,3,4,5",en,
BK_22,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9436e4b0f4d2ad33ab9f?viewFile=true,burgerking,saltysavory,"B,A","dinner,lunch","1,2,3,4,5",en,
BK_23,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9436e4b0f4d2ad33aba2?viewFile=true,"wendys,mcdonalds,burgerking,generic,KFC","saltysavory,vegetablesfresh","B,A","dinner,lunch","1,2,3,4,5",en,
BK_24,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9426e4b0f4d2ad33aa7a?viewFile=true,burgerking,saltysavory,"A,B","dinner,lunch","1,2,3,4,5",en,
BK_25,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77d9f5e4b05e4bbcdd126c?viewFile=true,"KFC,burgerking,generic,wendys,mcdonalds","vegetablesfresh,saltysavory","B,A","dinner,lunch,breakfast","1,2,3,4,5",en,
BK_26,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77d9fbe4b05e4bbcdd1275?viewFile=true,"burgerking,mcdonalds",sweet,"A,B","nightsnack,breakfast,daysnack","1,2,3,4,5",en,
BK_27,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c87d69de4b001ad5ab708ce?viewFile=true,"tacobell,subway,generic,KFC,mcdonalds,burgerking,wendys","vegetablesfresh,sweet","A,B","nightsnack,breakfast,daysnack","1,2,3,4,5",en,
BK_28,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9426e4b0f4d2ad33aa88?viewFile=true,burgerking,sweet,A,"daysnack,nightsnack,breakfast","1,2,3,4,5",en,
BK_29,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ae4b05e4bbcdd153b?viewFile=true,burgerking,sweet,B,"daysnack,nightsnack,breakfast","1,2,3,4,5",en,
BK_30,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9427e4b0f4d2ad33aa8e?viewFile=true,"generic,burgerking,wendys,KFC,subway,tacobell,mcdonalds","vegetablesfresh,saltysavory,sweet",A,"nightsnack,daysnack,breakfast","1,2,3,4,5",en,
BK_31,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10ae4b05e4bbcdd153f?viewFile=true,"wendys,burgerking,KFC,tacobell,subway,mcdonalds,generic","vegetablesfresh,sweet,saltysavory",B,"breakfast,daysnack,nightsnack","1,2,3,4,5",en,
BK_32,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9427e4b0f4d2ad33aa94?viewFile=true,burgerking,sweet,"A,B","daysnack,nightsnack,breakfast","1,2,3,4,5",en,
BK_33,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c0e9427e4b0f4d2ad33aa97?viewFile=true,"generic,mcdonalds,wendys,burgerking",sweet,"A,B","nightsnack,breakfast,daysnack","1,2,3,4,5",en,
BK_34,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10be4b05e4bbcdd154f?viewFile=true,burgerking,sweet,"B,A","dinner,lunch,breakfast","1,2,3,4,5",en,
BK_35,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5c76e7e8e4b018624a53cef2?viewFile=true,"wendys,mcdonalds,subway,KFC,burgerking",saltysavory,"B,A","breakfast,lunch,dinner","1,2,3,4,5",en,
BK_36,,,,,,,https://cloud.pilrhealth.com/project/r21_demo_project/file/5d77e10be4b05e4bbcdd1556?viewFile=true,burgerking,sweet,A,"nightsnack,daysnack","1,2,3,4,5",en,
